code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529541,Český Šternberk,129,82,82,9,"10,97",0,"0,00",0,"0,00",3,"3,65",0,"0,00",6,"7,31",3,"3,65",1,"1,21",0,"0,00",1,"1,21",0,"0,00",0,"0,00",6,"7,31",0,"0,00",0,"0,00",8,"9,75",25,"30,48",0,"0,00",0,"0,00",3,"3,65",0,"0,00",0,"0,00",0,"0,00",0,"0,00",17,"20,73",0,"0,00"
529567,Čtyřkoly,539,403,400,72,"18,00",0,"0,00",0,"0,00",20,"5,00",1,"0,25",43,"10,75",15,"3,75",1,"0,25",2,"0,50",11,"2,75",2,"0,50",0,"0,00",46,"11,50",0,"0,00",0,"0,00",39,"9,75",91,"22,75",0,"0,00",1,"0,25",11,"2,75",0,"0,00",4,"1,00",0,"0,00",0,"0,00",38,"9,50",3,"0,75"
532746,Děkanovice,49,40,40,0,"0,00",0,"0,00",0,"0,00",2,"5,00",0,"0,00",0,"0,00",3,"7,50",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"7,50",0,"0,00",0,"0,00",0,"0,00",13,"32,50",0,"0,00",0,"0,00",11,"27,50",0,"0,00",0,"0,00",0,"0,00",0,"0,00",8,"20,00",0,"0,00"
529621,Divišov,1305,830,816,52,"6,37",0,"0,00",0,"0,00",60,"7,35",1,"0,12",86,"10,53",78,"9,55",3,"0,36",7,"0,85",14,"1,71",2,"0,24",1,"0,12",76,"9,31",0,"0,00",1,"0,12",39,"4,77",256,"31,37",0,"0,00",2,"0,24",49,"6,00",0,"0,00",4,"0,49",3,"0,36",0,"0,00",79,"9,68",3,"0,36"
529648,Dolní Kralovice,727,445,445,24,"5,39",0,"0,00",0,"0,00",45,"10,11",0,"0,00",24,"5,39",66,"14,83",8,"1,79",2,"0,44",9,"2,02",0,"0,00",0,"0,00",47,"10,56",0,"0,00",1,"0,22",9,"2,02",150,"33,70",0,"0,00",1,"0,22",30,"6,74",0,"0,00",0,"0,00",2,"0,44",0,"0,00",26,"5,84",1,"0,22"
532151,Drahňovice,70,58,57,8,"14,03",0,"0,00",0,"0,00",1,"1,75",0,"0,00",2,"3,50",1,"1,75",1,"1,75",0,"0,00",1,"1,75",0,"0,00",0,"0,00",6,"10,52",0,"0,00",0,"0,00",3,"5,26",18,"31,57",0,"0,00",1,"1,75",5,"8,77",0,"0,00",1,"1,75",0,"0,00",0,"0,00",9,"15,78",0,"0,00"
532843,Dunice,55,38,38,5,"13,15",0,"0,00",0,"0,00",6,"15,78",0,"0,00",3,"7,89",3,"7,89",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"13,15",0,"0,00",0,"0,00",1,"2,63",10,"26,31",0,"0,00",0,"0,00",4,"10,52",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"2,63",0,"0,00"
529702,Heřmaničky,571,375,374,27,"7,21",1,"0,26",0,"0,00",22,"5,88",0,"0,00",34,"9,09",39,"10,42",4,"1,06",3,"0,80",0,"0,00",0,"0,00",0,"0,00",25,"6,68",0,"0,00",1,"0,26",10,"2,67",143,"38,23",0,"0,00",0,"0,00",14,"3,74",1,"0,26",5,"1,33",0,"0,00",2,"0,53",43,"11,49",0,"0,00"
532932,Hradiště,24,19,19,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"5,26",0,"0,00",0,"0,00",1,"5,26",0,"0,00",0,"0,00",3,"15,78",0,"0,00",0,"0,00",0,"0,00",10,"52,63",0,"0,00",0,"0,00",2,"10,52",0,"0,00",1,"5,26",0,"0,00",0,"0,00",1,"5,26",0,"0,00"
529737,Hulice,237,173,173,20,"11,56",0,"0,00",0,"0,00",11,"6,35",0,"0,00",11,"6,35",20,"11,56",1,"0,57",0,"0,00",2,"1,15",0,"0,00",0,"0,00",12,"6,93",0,"0,00",0,"0,00",4,"2,31",70,"40,46",0,"0,00",1,"0,57",6,"3,46",0,"0,00",0,"0,00",1,"0,57",0,"0,00",13,"7,51",1,"0,57"
